age,gender,height,weight,workout_days,workout_minutes,daily_calories,protein_intake,sleep_hours,future_weight
18,1,1.872,106.4,4,53,2913.0,177.0,8.7,109.44
32,1,1.822,102.9,2,52,2227.0,169.0,5.5,102.65
37,0,1.666,73.9,2,29,1627.0,93.0,9.8,75.11
32,0,1.546,49.3,4,42,1825.0,91.0,6.1,51.64
29,0,1.612,60.3,5,20,1549.0,94.0,6.0,60.56
27,0,1.667,69.3,6,56,1963.0,84.0,4.5,69.06
18,0,1.655,70.6,0,86,2454.0,106.0,6.4,72.87
24,1,1.871,85.5,5,40,1324.0,131.0,6.7,81.65
26,1,1.712,74.5,0,36,2365.0,95.0,8.8,76.84
40,1,1.816,79.9,2,75,2350.0,129.0,8.0,82.27
33,1,1.814,81.5,3,32,2208.0,145.0,8.3,83.14
18,0,1.617,57.1,6,75,1736.0,93.0,9.2,57.5
33,0,1.764,74.4,0,31,1800.0,134.0,9.6,75.62
27,0,1.679,66.2,1,48,1496.0,81.0,9.3,66.09
24,1,1.749,94.3,2,50,2316.0,129.0,7.5,94.57
36,0,1.6,74.7,4,69,1899.0,163.0,6.7,75.81
39,1,1.746,82.7,4,92,2732.0,113.0,8.2,85.87
38,1,1.829,99.0,5,48,2416.0,163.0,6.3,98.82
22,0,1.581,69.6,5,55,2269.0,101.0,7.8,72.73
27,0,1.744,77.7,2,21,2098.0,162.0,6.9,79.52
33,0,1.599,46.7,5,54,1300.0,71.0,6.5,46.5
39,1,1.669,65.4,5,78,1529.0,152.0,5.3,63.96
26,1,1.584,58.1,2,102,1708.0,115.0,7.6,58.65
28,1,1.77,60.4,0,48,1614.0,99.0,6.1,59.89
20,1,1.745,57.2,2,69,2344.0,109.0,7.8,59.79
19,0,1.626,71.7,2,78,1701.0,163.0,6.9,71.81
37,0,1.685,71.5,5,26,1883.0,109.0,7.1,72.98
42,0,1.657,54.6,1,83,1681.0,88.0,6.9,54.88
29,1,1.746,65.6,4,39,2263.0,110.0,5.6,67.43
39,0,1.622,74.7,5,60,1744.0,107.0,6.3,75.12
33,1,1.773,67.1,0,30,1316.0,91.0,6.2,65.49
24,0,1.575,60.1,3,48,1692.0,105.0,6.1,61.02
33,1,1.688,69.8,0,21,1300.0,160.0,6.1,68.5
44,1,1.822,88.1,4,60,2112.0,111.0,6.0,88.18
30,1,1.763,63.0,3,86,2312.0,103.0,6.2,64.77
44,0,1.727,76.9,2,56,1854.0,111.0,6.3,77.39
18,1,1.729,74.6,1,26,1984.0,130.0,7.7,74.96
37,1,1.835,82.8,1,48,2212.0,144.0,7.3,84.01
31,0,1.674,71.1,4,59,1756.0,86.0,6.1,71.77
27,1,1.712,75.9,5,52,2699.0,133.0,6.6,79.05
31,1,1.759,96.7,4,69,2642.0,87.0,5.1,97.66
18,1,1.743,101.9,1,95,2719.0,196.0,7.3,102.59
28,1,1.794,70.7,6,54,2566.0,82.0,6.8,71.75
33,0,1.527,45.0,3,52,1501.0,62.0,6.1,46.0
43,0,1.599,67.8,3,41,1433.0,121.0,9.4,69.06
25,1,1.788,80.0,5,76,2559.0,117.0,6.8,81.05
23,0,1.703,79.3,0,93,2012.0,129.0,7.6,80.77
25,1,1.854,87.5,2,51,2317.0,193.0,6.7,88.29
38,1,1.814,80.4,5,60,2508.0,166.0,5.8,81.42
33,1,1.759,85.5,3,58,1989.0,123.0,7.3,85.14
25,1,1.775,93.5,2,40,2492.0,139.0,6.5,94.94
35,1,1.781,61.9,4,70,2212.0,79.0,7.9,64.32
31,0,1.708,60.9,3,54,2031.0,123.0,6.8,62.81
39,0,1.583,59.2,3,60,2234.0,108.0,6.8,62.54
24,1,1.739,75.9,3,74,2021.0,101.0,8.2,76.91
27,0,1.583,58.0,0,48,1729.0,94.0,7.3,59.81
26,0,1.611,62.8,5,57,1771.0,75.0,7.3,63.77
18,0,1.627,75.2,4,40,1774.0,134.0,7.4,75.92
33,0,1.583,75.3,1,33,1300.0,150.0,8.1,74.68
32,1,1.823,86.9,0,57,2009.0,152.0,9.8,87.92
30,0,1.647,60.1,0,59,1300.0,96.0,6.6,59.77
28,0,1.579,58.6,3,73,1743.0,119.0,7.0,59.62
18,0,1.581,59.8,0,40,1939.0,81.0,6.3,61.44
26,1,1.737,80.0,5,34,2229.0,75.0,6.8,80.49
27,1,1.638,70.0,5,91,2720.0,154.0,7.5,72.63
23,1,1.712,91.7,5,58,2963.0,181.0,7.6,95.67
29,1,1.747,68.4,1,27,1811.0,114.0,8.3,68.77
34,1,1.752,78.8,0,54,1559.0,121.0,6.7,77.4
47,0,1.759,103.2,6,42,2236.0,203.0,7.5,104.63
32,1,1.841,75.1,5,62,1871.0,149.0,6.1,74.99
32,0,1.695,76.8,0,47,2274.0,111.0,6.2,78.85
29,1,1.763,61.5,3,80,2620.0,130.0,8.1,64.99
18,0,1.578,63.2,4,29,2150.0,124.0,6.8,64.22
30,1,1.705,64.3,5,81,1771.0,98.0,6.3,64.48
31,1,1.792,91.6,1,70,2052.0,215.0,5.4,91.31
52,0,1.665,67.2,3,61,1838.0,92.0,8.2,67.49
28,0,1.67,61.2,0,76,1930.0,50.0,5.2,62.86
33,0,1.573,63.0,5,79,1642.0,80.0,5.4,62.16
30,1,1.864,85.0,1,55,1460.0,166.0,7.7,82.45
19,1,1.811,93.8,6,88,3293.0,199.0,6.9,96.35
40,0,1.623,51.4,2,67,2034.0,66.0,7.5,53.98
37,1,1.724,79.6,5,44,3020.0,118.0,6.8,84.53
37,0,1.573,63.8,6,28,1723.0,101.0,8.1,64.48
22,1,1.864,76.0,6,76,2463.0,155.0,8.4,77.55
43,1,1.904,69.2,5,55,2186.0,90.0,8.5,69.89
18,1,1.868,84.8,0,19,2355.0,156.0,6.9,85.75
35,1,1.736,86.5,4,62,2278.0,148.0,5.9,86.95
50,0,1.664,77.8,0,50,1547.0,102.0,7.1,77.88
21,0,1.596,60.6,4,42,1309.0,94.0,6.2,59.72
25,1,1.642,55.4,2,75,2130.0,85.0,6.5,56.27
31,0,1.587,55.9,3,39,1665.0,89.0,9.2,58.73
25,1,1.872,74.8,3,46,2103.0,103.0,8.0,75.24
18,1,1.75,74.6,6,51,2447.0,185.0,6.8,75.65
31,1,1.781,76.0,5,75,2355.0,144.0,7.0,77.84
20,0,1.595,55.7,3,32,1300.0,110.0,6.6,55.08
34,0,1.599,72.7,1,42,2064.0,116.0,7.3,74.86
22,0,1.712,72.3,4,64,2089.0,128.0,6.6,73.88
44,0,1.554,60.7,0,65,1825.0,84.0,8.3,62.13
23,0,1.59,46.9,1,32,1569.0,92.0,7.1,48.4
27,0,1.596,49.5,1,47,1791.0,79.0,6.1,51.23
37,0,1.629,45.0,0,53,1300.0,57.0,8.7,45.36
19,0,1.614,58.1,2,61,1300.0,45.0,7.6,57.05
32,1,1.679,72.3,6,51,2378.0,104.0,7.5,73.82
42,1,1.85,58.3,3,86,1843.0,93.0,5.1,58.04
18,1,1.845,100.5,2,53,2476.0,159.0,7.0,101.33
32,1,1.771,78.8,2,85,1642.0,92.0,6.3,76.57
32,0,1.671,82.9,3,46,2372.0,71.0,4.0,83.89
37,1,1.674,61.6,2,23,1897.0,146.0,7.0,62.03
19,0,1.625,69.0,1,105,1843.0,107.0,6.9,69.26
18,1,1.725,69.1,5,53,1945.0,111.0,8.5,68.9
35,1,1.736,81.8,0,62,2769.0,128.0,6.5,84.17
33,1,1.832,75.2,5,26,2472.0,100.0,6.2,77.15
32,0,1.69,71.6,1,60,1300.0,138.0,6.3,70.8
33,1,1.856,99.1,5,71,3043.0,147.0,7.4,102.75
24,1,1.691,62.6,1,32,1546.0,81.0,8.4,62.47
32,0,1.767,79.7,4,52,2175.0,115.0,7.1,80.6
33,0,1.739,53.6,3,54,1742.0,77.0,6.5,54.43
24,1,1.791,87.9,3,29,1930.0,106.0,6.9,87.38
47,1,1.867,109.3,5,87,2845.0,196.0,7.8,111.08
34,1,1.789,64.8,1,1,1855.0,113.0,8.4,65.26
19,0,1.583,60.5,3,12,1865.0,72.0,8.4,62.99
36,1,1.798,88.6,4,57,2523.0,136.0,7.0,90.51
21,1,1.834,82.3,5,35,2480.0,142.0,7.6,84.39
37,1,1.737,74.9,0,69,2039.0,99.0,8.0,76.75
40,1,1.761,74.0,2,48,2339.0,138.0,7.0,76.61
23,0,1.653,62.2,6,63,2417.0,145.0,7.8,65.81
39,1,1.873,83.7,3,28,2096.0,148.0,7.9,84.66
34,1,1.811,79.4,1,47,1663.0,122.0,7.7,78.72
37,1,1.754,62.5,3,46,2058.0,86.0,8.0,63.87
47,1,1.856,84.1,1,102,2366.0,86.0,9.4,86.16
28,1,1.607,77.3,5,46,2479.0,109.0,6.2,78.9
23,0,1.612,56.2,5,9,1440.0,114.0,8.5,57.24
22,0,1.684,53.3,2,77,2034.0,68.0,7.3,55.11
23,0,1.593,59.5,3,50,1594.0,124.0,7.0,59.82
29,0,1.759,69.4,2,60,2279.0,101.0,6.5,71.63
33,0,1.615,49.3,1,48,1496.0,57.0,7.4,50.15
32,1,1.8,78.8,4,29,1901.0,136.0,6.5,78.6
37,0,1.548,47.6,4,81,1300.0,69.0,6.9,47.95
30,0,1.647,62.5,6,35,1966.0,131.0,5.5,64.58
43,0,1.511,57.8,0,25,1666.0,70.0,7.2,59.09
28,1,1.845,64.3,1,64,2309.0,54.0,6.1,65.57
54,1,1.901,67.2,1,58,1658.0,91.0,6.9,66.7
36,0,1.712,78.0,1,76,1822.0,77.0,7.1,78.44
22,0,1.569,45.0,5,61,1572.0,95.0,6.1,45.74
20,0,1.64,58.4,5,53,1867.0,124.0,6.1,58.95
34,1,1.723,53.8,4,73,2013.0,82.0,6.6,55.18
28,1,1.746,69.4,4,22,1814.0,154.0,6.4,69.62
36,1,1.834,88.8,6,51,2336.0,125.0,7.2,88.94
34,0,1.486,55.8,6,36,1339.0,96.0,6.9,56.15
29,1,1.816,109.5,4,60,2484.0,135.0,8.1,109.61
22,1,1.76,87.7,3,71,2537.0,89.0,7.2,89.0
18,0,1.596,54.3,3,61,1626.0,98.0,7.5,54.69
26,1,1.777,63.8,4,69,1820.0,141.0,7.0,64.01
38,0,1.627,93.9,2,80,2091.0,132.0,5.4,94.52
32,1,1.73,85.7,3,65,2972.0,138.0,7.0,89.55
19,0,1.514,61.9,5,70,1961.0,81.0,4.9,63.08
32,0,1.562,58.8,3,92,1542.0,85.0,6.6,59.42
33,0,1.774,78.2,3,108,2584.0,84.0,7.7,81.42
22,0,1.673,53.7,3,52,2126.0,118.0,5.8,56.44
31,1,1.789,78.1,6,36,2448.0,102.0,4.7,79.21
31,1,1.806,79.8,6,3,1870.0,138.0,6.3,79.7
20,1,1.776,68.5,0,93,2257.0,141.0,7.3,70.09
33,0,1.7,66.7,3,44,2299.0,112.0,6.6,69.84
35,0,1.601,77.5,2,64,1639.0,119.0,5.7,76.56
40,1,1.739,71.1,6,68,2197.0,133.0,6.5,72.38
39,0,1.609,82.8,0,71,1962.0,87.0,7.7,83.94
18,1,1.782,59.1,5,50,2305.0,66.0,6.7,61.15
22,0,1.675,62.2,5,71,2505.0,113.0,8.0,65.91
35,0,1.705,52.0,3,66,1363.0,89.0,6.5,51.74
35,1,1.843,69.3,1,41,1859.0,115.0,5.4,69.14
35,1,1.722,62.8,0,88,2296.0,45.0,8.9,66.19
60,1,1.753,76.8,6,69,3041.0,97.0,7.5,80.81
35,0,1.637,68.6,5,29,1803.0,121.0,8.6,70.41
40,1,1.835,74.9,3,48,2069.0,117.0,7.0,75.85
39,1,1.826,57.8,2,47,2498.0,111.0,6.8,61.02
36,1,1.756,91.5,4,44,2393.0,159.0,8.7,93.23
27,1,1.672,64.1,5,67,2215.0,138.0,8.8,66.85
37,1,1.69,58.0,3,81,1630.0,119.0,5.6,57.1
23,0,1.603,66.3,1,33,1421.0,117.0,6.4,65.09
28,1,1.784,78.3,2,48,1734.0,120.0,6.1,77.2
26,0,1.552,52.1,5,78,1718.0,99.0,7.8,53.34
31,0,1.718,75.4,0,38,1300.0,124.0,6.3,74.05
51,1,1.804,62.0,2,41,1701.0,125.0,7.7,62.3
18,1,1.679,77.0,3,10,2567.0,115.0,8.0,79.97
36,0,1.535,47.8,6,70,1739.0,97.0,9.2,49.35
18,0,1.578,54.9,5,59,1728.0,71.0,5.9,56.48
26,1,1.848,94.7,5,48,2753.0,144.0,8.4,96.25
40,1,1.723,92.1,1,23,2168.0,149.0,6.8,93.36
31,1,1.688,82.5,5,48,2027.0,150.0,9.2,83.24
20,0,1.601,74.5,6,17,1300.0,146.0,8.3,73.65
24,1,1.753,70.2,2,51,1762.0,94.0,8.1,69.68
36,1,1.733,57.4,5,93,2062.0,102.0,6.3,58.51
23,0,1.619,79.5,2,59,2645.0,111.0,6.9,82.91
32,0,1.594,77.8,4,80,2505.0,179.0,7.5,81.2
30,1,1.748,66.8,6,81,2365.0,83.0,6.5,67.3
24,1,1.755,83.4,4,44,2425.0,199.0,7.8,86.12
49,0,1.656,64.9,3,67,1602.0,122.0,9.1,66.0
36,1,1.787,95.8,0,0,2162.0,53.0,6.4,95.45
18,1,1.754,67.9,0,61,1888.0,90.0,6.3,67.96
32,0,1.575,77.6,1,77,1740.0,126.0,6.5,79.22
24,1,1.694,80.2,6,65,2238.0,137.0,8.7,80.27
38,0,1.641,87.1,3,48,1921.0,90.0,6.9,88.35
23,0,1.611,55.6,0,80,1406.0,61.0,8.9,56.81
29,1,1.784,83.3,5,78,2739.0,143.0,8.0,85.6
35,1,1.689,57.7,2,54,2013.0,64.0,7.6,58.08
38,0,1.616,68.3,3,85,2124.0,131.0,9.2,71.04
19,0,1.638,74.4,2,65,1850.0,111.0,6.3,74.61
27,0,1.604,83.9,1,23,2347.0,146.0,5.2,85.39
26,0,1.636,66.2,6,61,2090.0,92.0,6.3,66.58
24,1,1.728,78.8,5,41,2464.0,96.0,6.9,80.96
46,0,1.546,51.3,3,65,1594.0,104.0,7.4,53.24
34,1,1.727,76.9,5,0,1923.0,129.0,7.9,77.16
19,1,1.726,64.9,5,87,2513.0,75.0,7.5,66.8
38,1,1.74,73.7,6,77,2274.0,107.0,7.7,74.0
49,1,1.682,68.8,5,87,1887.0,123.0,7.0,68.38
39,0,1.613,60.3,1,55,1762.0,62.0,7.8,61.57
18,1,1.834,83.5,6,78,2748.0,60.0,7.4,84.12
26,1,1.631,61.2,4,59,1768.0,72.0,8.5,61.37
41,1,1.777,71.3,1,35,2109.0,129.0,7.7,72.95
24,0,1.666,77.9,5,39,2191.0,84.0,7.9,79.18
34,0,1.621,63.5,4,48,1688.0,128.0,9.8,65.37
37,1,1.695,71.5,3,80,2546.0,123.0,6.8,74.75
22,1,1.845,65.1,2,79,2427.0,87.0,8.2,66.47
29,1,1.797,79.5,2,42,2069.0,157.0,7.2,81.1
18,0,1.673,73.2,2,69,1563.0,81.0,6.8,72.14
21,0,1.606,57.8,1,55,1918.0,77.0,7.0,59.56
28,1,1.844,110.5,3,36,2777.0,172.0,8.0,112.39
19,0,1.608,45.0,3,31,1300.0,69.0,6.9,44.98
45,1,1.697,78.3,4,50,1767.0,131.0,5.2,77.74
18,0,1.716,80.0,3,74,1908.0,145.0,6.6,80.33
26,1,1.78,79.0,2,45,2440.0,107.0,8.7,80.33
31,1,1.747,73.5,3,71,2648.0,157.0,7.9,77.77
43,1,1.826,87.5,4,61,2100.0,114.0,4.6,87.36
18,1,1.653,76.3,3,22,1764.0,116.0,6.3,75.03
40,0,1.562,52.7,3,95,1595.0,96.0,5.9,53.33
30,1,1.773,80.9,2,79,2083.0,122.0,5.1,79.53
21,0,1.738,68.6,3,27,1612.0,77.0,7.0,67.36
34,0,1.616,48.8,1,63,1300.0,75.0,8.4,49.09
32,1,1.636,72.3,6,85,2054.0,101.0,6.0,72.39
25,1,1.761,65.7,4,63,2207.0,150.0,6.5,67.38
31,1,1.756,55.2,4,47,2170.0,122.0,6.8,56.43
27,0,1.618,60.0,4,53,1300.0,104.0,5.1,59.73
31,1,1.765,66.3,3,50,2430.0,101.0,9.5,69.63
36,1,1.751,84.9,1,52,2382.0,162.0,8.0,86.55
44,1,1.842,82.5,6,77,2515.0,176.0,7.3,84.13
19,0,1.674,83.9,5,64,1938.0,154.0,6.4,83.62
49,1,1.798,70.5,5,38,1786.0,155.0,5.7,69.74
18,1,1.643,71.6,4,50,1935.0,128.0,6.2,71.38
29,1,1.701,97.0,0,47,2073.0,150.0,8.3,97.64
35,1,1.675,75.8,5,61,2512.0,136.0,6.4,77.22
33,0,1.602,67.8,5,33,1950.0,103.0,7.0,69.31
24,1,1.755,83.8,2,25,1958.0,154.0,7.2,84.18
28,0,1.525,47.0,0,36,1300.0,67.0,9.8,48.53
26,0,1.619,69.6,0,24,1751.0,111.0,6.4,70.64
25,0,1.671,69.5,4,24,1852.0,109.0,5.9,69.93
38,0,1.65,60.1,6,79,1636.0,117.0,5.1,59.91
33,1,1.787,63.4,6,52,2000.0,118.0,6.4,63.9
24,1,1.691,77.6,0,62,1839.0,143.0,9.7,78.6
38,0,1.659,59.6,0,56,1300.0,77.0,7.7,59.37
33,1,1.643,86.3,5,57,2085.0,126.0,8.7,86.87
37,0,1.771,76.0,1,61,1517.0,135.0,7.6,75.42
36,1,1.877,70.4,2,67,2351.0,153.0,6.7,72.28
23,0,1.567,53.1,3,62,1797.0,83.0,7.9,54.66
25,0,1.681,66.0,4,111,1684.0,125.0,6.1,64.95
37,1,1.775,105.2,5,34,2416.0,140.0,7.8,106.39
35,1,1.727,61.3,5,34,1656.0,96.0,8.2,61.46
30,0,1.68,67.0,4,44,1494.0,113.0,8.2,66.59
31,0,1.704,68.2,0,29,1643.0,110.0,6.9,68.52
41,1,1.954,101.0,3,49,3186.0,169.0,8.4,105.0
25,0,1.638,62.0,5,36,1558.0,103.0,5.9,62.14
35,1,1.625,50.5,3,57,2149.0,59.0,7.9,52.87
28,1,1.865,84.0,3,56,2326.0,97.0,7.4,84.7
28,0,1.658,64.8,4,29,1596.0,139.0,6.3,65.74
40,0,1.684,58.9,4,70,1470.0,92.0,5.9,56.83
37,0,1.65,61.5,6,39,2252.0,109.0,7.0,64.02
37,0,1.607,73.0,5,36,1926.0,129.0,7.2,74.73
42,1,1.743,66.4,5,64,2196.0,168.0,6.4,68.45
30,0,1.682,56.6,6,55,2039.0,98.0,5.7,57.62
36,1,1.885,80.9,6,55,2717.0,168.0,8.0,83.01
27,1,1.73,73.4,5,35,1938.0,100.0,8.2,73.74
33,1,1.865,66.3,1,33,2054.0,91.0,9.4,66.96
29,1,1.849,103.1,4,71,2822.0,184.0,6.4,104.57
31,1,1.69,84.0,4,54,2571.0,156.0,7.2,86.34
35,1,1.832,96.9,1,60,2695.0,161.0,8.2,99.47
23,1,1.714,77.4,4,58,2341.0,129.0,8.3,78.58
49,1,1.629,47.8,0,69,1670.0,70.0,7.5,48.93
21,0,1.666,81.5,0,54,2454.0,158.0,7.9,83.98
19,1,1.788,66.8,6,50,1777.0,153.0,6.4,65.31
40,1,1.728,60.3,1,69,1907.0,91.0,7.2,61.26
37,0,1.647,65.9,5,100,1913.0,113.0,6.1,66.93
36,0,1.535,69.3,1,30,1655.0,100.0,7.8,70.55
36,0,1.715,79.5,0,44,2082.0,105.0,8.3,81.85
30,1,1.701,81.1,3,61,1981.0,152.0,9.8,82.19
22,0,1.606,57.2,4,11,1300.0,94.0,8.7,57.85
31,1,1.774,69.0,2,77,2469.0,115.0,5.2,70.58
24,1,1.583,61.6,2,71,1445.0,107.0,6.0,60.78
39,1,1.79,80.7,1,56,2471.0,45.0,8.7,83.13
29,0,1.646,70.4,2,64,1929.0,96.0,7.7,71.82
23,1,1.761,85.8,3,85,2528.0,140.0,7.2,87.03
27,1,1.822,86.1,2,61,2250.0,157.0,7.0,86.51
34,1,1.713,52.0,0,30,1435.0,106.0,6.0,51.33
25,0,1.594,64.1,1,74,1804.0,100.0,4.9,64.14
23,0,1.579,60.5,5,74,1968.0,74.0,6.1,61.0
32,1,1.788,77.9,2,59,2017.0,138.0,6.9,78.27
32,0,1.634,54.0,4,107,1859.0,91.0,7.3,55.39
25,1,1.69,56.1,6,53,2420.0,141.0,6.8,58.74
26,0,1.609,68.4,6,19,1493.0,150.0,5.7,67.33
32,1,1.71,66.2,1,60,2598.0,73.0,6.5,68.62
18,0,1.731,80.0,3,58,2358.0,111.0,7.2,81.59
18,1,1.686,60.6,0,100,2256.0,122.0,7.4,64.06
24,0,1.639,77.6,6,62,2555.0,137.0,6.6,79.87
28,1,1.819,92.7,2,50,1709.0,164.0,6.7,91.46
33,1,1.797,82.9,0,30,1647.0,117.0,8.0,81.87
43,1,1.636,63.3,3,91,1632.0,144.0,7.4,62.86
38,1,1.83,93.0,6,9,2082.0,162.0,6.7,93.19
29,1,1.826,84.0,5,64,2750.0,165.0,7.5,86.04
30,0,1.56,64.6,2,15,1382.0,70.0,4.9,63.87
21,1,1.786,89.1,5,49,2251.0,111.0,6.8,89.05
30,0,1.578,73.5,5,48,1643.0,179.0,6.9,72.91
27,0,1.631,48.8,1,41,1357.0,57.0,7.1,49.08
33,0,1.632,53.4,5,48,1852.0,107.0,6.1,54.47
23,0,1.593,55.1,1,58,1362.0,104.0,7.8,55.36
35,0,1.608,49.5,5,46,1300.0,94.0,5.7,49.13
44,1,1.754,77.2,6,53,2233.0,160.0,5.2,78.66
29,0,1.679,75.8,4,41,1937.0,77.0,6.9,76.45
34,1,1.652,66.4,3,50,2262.0,137.0,6.4,68.7
36,0,1.679,61.5,2,74,1553.0,47.0,5.6,60.46
26,0,1.665,77.5,0,46,1589.0,140.0,7.6,78.24
32,1,1.728,76.0,6,86,1986.0,204.0,7.1,76.09
30,1,1.683,74.3,0,74,2362.0,144.0,8.1,76.84
31,1,1.729,83.1,2,71,2037.0,133.0,7.5,84.07
23,0,1.602,62.5,3,55,2025.0,98.0,7.0,64.76
30,0,1.736,98.0,3,36,2500.0,155.0,5.8,99.76
34,1,1.647,58.6,5,57,1911.0,81.0,5.8,58.12
43,0,1.461,69.1,0,90,1529.0,99.0,6.7,69.97
39,0,1.618,51.3,2,38,1300.0,57.0,6.6,50.99
49,1,1.704,70.6,5,61,2435.0,99.0,8.0,74.18
23,1,1.835,72.9,2,37,1867.0,138.0,8.0,73.19
38,0,1.71,83.8,0,47,1613.0,149.0,5.4,82.79
32,0,1.587,56.1,2,61,1300.0,98.0,5.8,56.02
50,0,1.65,75.2,2,62,1699.0,123.0,5.2,75.03
23,1,1.738,66.5,5,57,2084.0,74.0,6.3,66.65
22,1,1.72,82.5,1,67,1950.0,116.0,8.3,82.71
25,1,1.821,72.9,1,64,1851.0,110.0,7.5,72.35
18,1,1.796,97.7,4,48,2861.0,104.0,7.3,98.74
25,1,1.747,64.4,5,69,1915.0,80.0,7.0,64.42
23,0,1.621,50.9,4,36,1300.0,106.0,6.3,50.52
31,1,1.745,85.4,3,50,2067.0,147.0,8.0,85.71
33,0,1.574,53.0,1,46,1494.0,61.0,7.7,53.24
47,1,1.761,71.5,1,62,2289.0,145.0,8.2,74.81
39,0,1.718,66.7,1,7,1300.0,126.0,6.1,65.46
25,1,1.765,60.5,1,47,1994.0,91.0,6.8,61.01
22,1,1.858,81.6,3,64,2684.0,95.0,5.7,82.82
34,1,1.791,93.7,0,104,2251.0,193.0,6.2,94.87
18,0,1.557,67.4,3,56,2410.0,150.0,6.3,70.58
46,0,1.615,66.4,0,33,2093.0,127.0,7.6,70.64
41,1,1.783,88.2,4,68,2158.0,179.0,7.6,89.38
26,1,1.812,66.7,1,41,1948.0,102.0,8.4,66.72
18,0,1.693,64.4,5,28,2169.0,114.0,4.6,65.98
42,1,1.737,74.2,5,59,2054.0,162.0,6.8,75.5
29,1,1.783,75.0,0,81,1889.0,119.0,9.8,76.03
41,0,1.683,69.3,6,39,2403.0,102.0,7.7,72.01
18,0,1.663,51.1,6,51,2217.0,78.0,6.9,53.97
25,1,1.772,56.8,6,69,2813.0,125.0,8.0,60.65
30,1,1.609,72.5,3,75,2053.0,171.0,6.2,73.32
30,0,1.741,81.2,0,84,1943.0,137.0,5.9,82.0
26,1,1.806,89.0,2,41,2446.0,209.0,7.0,90.89
36,1,1.812,72.6,4,52,2341.0,71.0,7.4,73.53
20,0,1.591,51.8,4,12,1560.0,67.0,7.9,51.87
29,0,1.574,62.5,1,47,1367.0,86.0,7.9,63.57
31,1,1.86,93.0,1,34,2080.0,78.0,6.2,92.08
35,0,1.643,62.1,3,58,1681.0,97.0,7.5,62.86
36,0,1.583,64.2,0,73,1300.0,123.0,8.2,64.5
20,1,1.77,65.8,2,69,2072.0,58.0,8.0,66.77
18,0,1.554,59.5,4,32,1300.0,120.0,7.8,59.0
41,1,1.655,67.4,0,47,1389.0,72.0,7.7,66.63
33,1,1.737,83.5,2,64,2464.0,107.0,7.6,85.77
23,0,1.61,66.1,5,58,1790.0,111.0,7.1,66.45
44,1,1.828,99.4,0,41,2245.0,147.0,9.0,100.31
31,1,1.786,61.0,1,62,1949.0,116.0,8.0,61.92
41,1,1.655,68.1,5,70,2529.0,112.0,6.8,71.92
31,1,1.757,77.5,5,51,2638.0,150.0,5.2,79.94
49,0,1.727,80.4,4,35,2564.0,162.0,9.5,84.4
